hand_rank,player_chips,current_bet,min_bet,pot,num_community_cards,action
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.1,1.0,0.1,0.2,0.03,0.0,3
0.1,0.99,0.1,0.2,0.03,0.0,3
0.2,1.0,0.1,0.2,0.03,0.0,1
0.1,0.97,0.2,0.2,0.04,0.0,0
0.2,0.99,0.2,0.2,0.04,0.6,0
0.1,0.97,0.2,0.2,0.04,0.6,0
0.2,0.99,0.2,0.2,0.04,0.8,0
0.1,0.97,0.2,0.2,0.04,0.8,0
0.2,0.99,0.2,0.2,0.04,1.0,0
0.1,0.97,0.2,0.2,0.04,1.0,0
0.1,0.96,0.1,0.2,0.03,0.0,3
0.1,1.03,0.1,0.2,0.03,0.0,3
